"x","y","z","bhd"
76.811,-23.729,3.246,36.3
97.579,-23.052,3.463,36.3
110.95,-36.686,2.303,36.2
-1.225,58.73,-5.976,36.1
93.937,-32.512,2.724,36.1
20.782,-10.396,-1.178,36
130.758,-37.84,2.564,36
68.305,34.017,3.692,36
76.927,9.55,2.981,36
29.461,38.724,-0.0509999999999999,35.9
48.984,-7.73,0.366,35.9
26.002,61.154,-0.824,35.9
82.37,-7.957,3.251,35.9
19.484,18.128,-2.468,35.9
8.419,4.593,-2.22,35.9
30.738,50.196,0.627,35.9
25.237,24.976,-1.773,35.9
92.871,-41.925,1.584,35.9
55.895,7.127,0.859,35.8
138.595,-17.516,4.429,35.8
39.603,5.335,-0.483,35.8
122.191,-53.341,0.669,35.7
118.312,-59.562,0.0369999999999999,35.7
117.805,-16.288,4.448,35.7
105.992,-47.466,1.128,35.7
115.605,-67.219,-1.137,35.7
137.308,-0.756,6.356,35.6
137.893,-41.434,2.223,35.6
41.783,50.568,2.465,35.5
74.854,4.175,2.604,35.5
32.17,-24.463,-1.665,35.5
55.606,1.319,1.012,35.4
142.739,-26.736,3.633,35.4
51.808,-2.17,0.675,35.3
8.451,35.453,-3.861,35.3
86.677,-33.497,2.733,35.3
151.752,-7.961,5.753,35.3
89.504,29.104,5.943,35.3
67.448,-9.612,1.912,35.3
24.409,1.859,-1.091,35.1
107.322,-19.879,3.831,35.1
84.585,-1.277,3.613,35
67.581,24.981,2.8,34.9
142.259,-16.163,4.661,34.9
59.312,30.616,2.272,34.9
70.658,26.374,3.44,34.9
57.901,22.753,1.447,34.8
107.119,-41.411,1.794,34.8
110.191,-40.605,1.876,34.8
113.033,4.168,6.362,34.7
85.288,7.52,4.02,34.7
117.223,11.329,7.599,34.6
128.475,-18.75,4.128,34.5
26.137,40.463,-0.526,34.5
50.495,36.23,1.868,34.5
45.451,-32.51,-0.877,34.5
103.687,-50.286,0.902,34.4
105.569,-13.391,4.594,34.4
58.799,8.423,1.165,34.3
133.989,-40.12,2.254,34.3
49.555,-28.673,-0.0860000000000001,34.3
64.9,-17.749,1.922,34.3
141.206,-24.658,3.74,34.3
145.116,-23.391,4.054,34.2
100.039,-28.004,3.022,34.2
112.819,-53.54,0.66,34.1
70.983,-37.677,0.895,34
31.504,2.118,-0.859,34
70.16,-29.124,1.981,34
118.134,-50.572,0.902,33.9
62.89,18.31,1.819,33.8
27.186,-1.236,-0.91,33.8
71.158,1.621,2.009,33.7
58.102,-9.891,1.034,33.7
106.002,17.668,7.054,33.7
37.194,54.404,1.596,33.7
95.445,-19.367,3.724,33.6
106.027,-29.081,2.935,33.6
25.022,16.303,-1.87,33.5
43.701,-27.643,-0.687,33.5
54.913,-34.874,-0.438,33.4
34.035,25.412,-0.66,33.4
-1.685,0.492,-1.601,33.3
24.317,-11.821,-1.164,33.3
0.52,-2.825,-1.643,33.2
148.268,-11.842,5.301,33.1
106.975,-52.422,0.677,33.1
145.895,-10.41,5.573,33.1
88.527,-42.688,1.449,33
27.969,18.211,-1.557,33
81.791,-18.056,3.449,32.9
82.031,-10.939,3.38,32.9
62.559,-41.943,-0.605,32.9
72.735,-0.507,2.207,32.8
63.034,-27.394,1.361,32.8
82.215,24.788,4.85,32.8
123.106,-23.733,3.594,32.8
128.254,2.917,6.416,32.7
86.439,-45.064,1.095,32.7
59.422,3.784,1.213,32.7
-4.635,25.942,-5.038,32.7
108.954,13.34,6.956,32.6
90.061,-25.575,3.305,32.6
107.242,-22.153,3.521,32.6
28.853,-14.649,-1.272,32.6
91.636,-47.8,0.903,32.5
138.701,-34.106,2.926,32.5
101.662,-55.945,0.173,32.5
118.565,-28.209,3.068,32.4
102.755,-47.274,1.131,32.4
61.229,33.805,2.715,32.3
78.207,-17.572,3.437,32.2
63.774,-20.646,1.965,32.2
96.355,-12.979,4.19,32.2
38.941,23.874,-0.191,32.1
21.382,-18.65,-1.42,32.1
58.53,27.305,2.078,32
71.198,19.628,2.898,32
96.721,-42.131,1.59,31.9
11.542,2.646,-1.834,31.9
64.942,26.337,2.516,31.8
136.438,3.029,6.671,31.8
116.121,-32.264,2.729,31.7
131.363,-14.423,4.791,31.7
61.328,-24.705,1.452,31.6
103.108,-32.291,2.614,31.6
55.037,44.6,2.705,31.6
93.015,10.271,5.362,31.6
66.608,14.157,1.961,31.6
78.69,2.568,3.032,31.5
84.755,-41.397,1.511,31.5
96.657,-55.839,-0.0800000000000001,31.5
123.777,-48.729,1.23,31.4
15.254,-11.534,-1.339,31.4
63.068,-15.884,1.667,31.4
42.318,47.82,2.296,31.3
75.676,24.117,3.972,31.3
111.468,-34.87,2.435,31.3
81.242,21.605,4.394,31.3
91.733,-16.324,3.733,31.2
80.894,3.509,3.297,31.2
84.606,-21.445,3.505,31.2
68.649,-0.917,1.975,31.2
-4.581,18.642,-4.503,31.1
151.97,-10.932,5.422,31.1
128.06,-24.786,3.638,31.1
37.598,17.767,-0.576,31.1
42.559,12.171,-0.319,31
101.21,20.12,6.714,31
78.639,-31.023,2.611,31
67.457,-25.881,2.075,31
41.262,17.009,-0.214,30.9
141.906,-31.016,3.217,30.9
92.496,-11.821,3.864,30.9
114.302,-57.065,0.236,30.8
34.279,-2.021,-0.739,30.7
57.364,19.585,1.217,30.7
16.989,-3.622,-1.29,30.7
64.885,44.567,3.755,30.6
18.712,9.028,-1.942,30.6
12.844,-8.626,-1.358,30.6
