28.569,8.946,-1.156,54.5
63.142,3.854,1.507,52.3
19.209,7.13,-1.709,49.2
58.567,-3.165,1.219,48.6
36.035,-0.141,-0.581,47.8
52.082,22.715,0.86,47.2
62.606,21.554,2.054,46.9
20.56,21.103,-2.404,46.4
35.26,-22.294,-1.24,46.0
46.962,22.473,0.51,45.8
49.152,11.139,0.233,45.3
46.069,5.531,0.116,45.2
48.872,-10.303,0.335,43.3
60.635,-1.175,1.326,42.3
69.408,-13.844,2.384,42.0
24.254,-18.389,-1.363,41.9
62.414,9.743,1.462,41.6
32.181,21.663,-1.035,41.4
13.372,10.431,-2.465,41.3
10.021,-0.234,-1.669,41.2
14.92,6.676,-2.076,41.2
57.165,-26.08,0.838,41.2
44.75,-1.61,0.196,41.1
32.546,16.219,-1.05,40.9
32.823,0.866,-0.689,40.9
57.872,-14.827,1.113,40.7
27.715,26.8,-1.274,40.5
66.375,17.798,2.19,40.0
52.779,13.26,0.645,39.9
41.271,-14.518,-0.474,39.4
33.437,-26.119,-1.676,38.8
31.612,-21.485,-1.44,38.8
69.806,-7.501,2.163,38.3
35.634,-16.514,-1.045,38.3
56.52,9.371,0.958,38.2
49.512,16.935,0.313,38.2
24.334,12.093,-1.757,38.0
48.653,23.689,0.677,38.0
30.04,28.734,-0.795,37.4
40.775,-8.554,-0.27,37.2
29.904,-3.082,-0.838,36.4
20.782,-10.396,-1.178,36.0
48.984,-7.73,0.366,35.9
19.484,18.128,-2.468,35.9
25.237,24.976,-1.773,35.9
55.895,7.127,0.859,35.8
39.603,5.335,-0.483,35.8
32.17,-24.463,-1.665,35.5
55.606,1.319,1.012,35.4
51.808,-2.17,0.675,35.3
67.448,-9.612,1.912,35.3
24.409,1.859,-1.091,35.1
67.581,24.981,2.8,34.9
57.901,22.753,1.447,34.8
58.799,8.423,1.165,34.3
49.555,-28.673,-0.0860000000000001,34.3
64.9,-17.749,1.922,34.3
31.504,2.118,-0.859,34.0
62.89,18.31,1.819,33.8
27.186,-1.236,-0.91,33.8
58.102,-9.891,1.034,33.7
25.022,16.303,-1.87,33.5
43.701,-27.643,-0.687,33.5
34.035,25.412,-0.66,33.4
24.317,-11.821,-1.164,33.3
27.969,18.211,-1.557,33.0
63.034,-27.394,1.361,32.8
59.422,3.784,1.213,32.7
28.853,-14.649,-1.272,32.6
63.774,-20.646,1.965,32.2
38.941,23.874,-0.191,32.1
21.382,-18.65,-1.42,32.1
58.53,27.305,2.078,32.0
11.542,2.646,-1.834,31.9
64.942,26.337,2.516,31.8
61.328,-24.705,1.452,31.6
66.608,14.157,1.961,31.6
15.254,-11.534,-1.339,31.4
63.068,-15.884,1.667,31.4
68.649,-0.917,1.975,31.2
37.598,17.767,-0.576,31.1
42.559,12.171,-0.319,31.0
67.457,-25.881,2.075,31.0
41.262,17.009,-0.214,30.9
34.279,-2.021,-0.739,30.7
57.364,19.585,1.217,30.7
16.989,-3.622,-1.29,30.7
18.712,9.028,-1.942,30.6
12.844,-8.626,-1.358,30.6
16.137,-10.009,-1.289,30.4
53.452,26.778,1.245,30.3
33.336,-13.698,-0.994,29.9
61.265,11.833,1.308,29.7
61.103,-20.025,1.641,29.6
36.153,-5.321,-0.683,29.4
40.882,9.712,-0.408,29.4
65.352,-23.96,1.971,29.3
22.614,-13.105,-1.21,29.2
11.723,19.518,-3.288,29.1
64.334,7.772,1.583,29.0
55.596,12.886,0.797,29.0
36.95,9.149,-0.682,29.0
55.01,23.818,1.102,28.8
31.808,-17.876,-1.258,28.8
28.887,-23.378,-1.755,28.7
54.115,-21.471,0.85,28.7
52.384,-23.703,0.543,28.7
34.213,13.357,-0.952,28.5
28.259,-9.927,-1.147,28.2
50.062,29.993,1.179,28.2
53.797,9.711,0.663,28.1
42.952,-28.404,-0.898,28.0
47.256,-16.093,-0.0350000000000001,27.8
37.771,-24.047,-1.22,27.7
52.835,-3.96,0.764,27.6
21.001,-6.414,-1.113,27.6
49.154,-16.143,0.177,27.4
45.372,25.881,0.471,27.3
52.846,-14.9,0.533,27.2
55.614,-10.321,0.877,27.2
18.416,-0.568,-1.404,27.1
18.152,19.706,-2.611,26.9
48.636,-12.577,0.234,26.8
53.045,-18.956,0.649,26.8
66.7,29.633,3.107,26.7
67.517,-5.567,1.807,26.5
38.407,-0.325,-0.377,26.4
49.375,-18.44,0.297,26.3
23.525,-3.666,-1.079,26.2
19.87,-13.776,-1.284,26.2
43.932,-29.91,-0.906,26.1
11.943,11.284,-2.636,26.0
41.663,-26.793,-0.946,26.0
39.534,-7.108,-0.313,25.8
40.842,-16.412,-0.647,25.8
29.845,-16.349,-1.259,25.8
38.997,11.656,-0.545,25.8
57.59,-28.674,0.706,25.6
24.427,0.398,-1.107,25.6
49.077,-26.962,-0.117,25.2
33.703,8.857,-0.868,25.1
67.027,0.525,1.824,24.8
25.49,-10.808,-1.122,24.8
43.204,16.358,-0.153,24.7
21.675,3.348,-1.422,24.6
68.226,-10.901,2.018,24.1
22.259,9.05,-1.795,24.0
54.799,-17.084,0.873,23.9
57.477,-21.405,1.279,23.8
57.377,15.288,0.947,23.7
67.56,-21.968,2.301,23.5
47.218,-24.131,-0.189,23.4
14.127,14.897,-2.875,23.1
43.565,-19.042,-0.445,23.0
28.706,22.664,-1.463,22.9
12.466,18.606,-3.196,22.8
28.302,6.736,-1.18,22.7
20.75,29.673,-2.186,22.7
46.289,-22.566,-0.244,22.4
68.695,-24.364,2.31,22.4
44.225,8.307,-0.168,22.4
11.224,0.523,-1.707,22.2
28.915,-17.538,-1.393,22.1
14.981,-6.538,-1.26,21.9
30.066,-4.597,-0.901,21.8
32.661,-10.408,-0.972,21.7
42.082,-24.192,-0.792,21.7
51.094,8.477,0.578,21.6
67.145,21.577,2.472,21.6
25.523,-11.66,-1.073,21.5
66.931,3.492,1.918,21.5
48.155,20.127,0.374,21.4
34.02,-5.76,-0.75,21.3
35.35,18.68,-0.812,21.3
16.179,20.229,-2.845,21.3
15.845,23.576,-3.034,21.0
11.312,-11.705,-1.498,20.8
62.139,0.635,1.336,20.4
40.434,18.922,-0.322,20.3
61.916,-19.347,1.741,20.2
12.557,13.0,-2.712,20.1
16.637,10.419,-2.268,20.1
31.574,5.897,-1.022,19.8
45.166,-17.048,-0.28,19.4
47.276,-19.273,-0.0290000000000001,19.4
27.299,29.911,-1.198,19.2
59.656,-27.268,0.945,19.1
52.725,-12.697,0.571,19.0
69.961,-19.546,2.52,18.8
41.455,15.041,-0.329,18.7
30.883,-12.247,-1.145,18.6
12.912,7.428,-2.339,18.4
25.787,13.408,-1.714,18.4
24.287,29.037,-1.775,18.4
66.464,-26.24,1.862,18.3
40.209,-0.319,-0.245,18.2
34.435,-9.975,-0.89,18.1
16.533,20.898,-2.806,17.9
54.287,20.156,0.735,17.8
69.054,18.156,2.43,17.7
20.469,-1.185,-1.27,17.6
11.003,-8.242,-1.465,17.5
45.317,-8.099,0.022,17.5
38.928,-26.196,-1.146,17.4
31.921,12.234,-1.122,17.4
10.216,26.211,-3.825,17.4
68.038,10.89,1.928,17.4
24.274,21.16,-2.126,17.3
51.596,17.343,0.497,17.2
39.214,-14.09,-0.722,17.1
66.215,-28.492,1.549,17.0
24.644,15.816,-1.886,16.9
46.467,-17.007,-0.11,16.8
43.416,-22.044,-0.553,16.7
